Neo Reference ID;name;diameter;close_approach_date;velocity;miss_distance;orbiting_body;Orbit Determination Date;Inclination;is_hazardous
3451019;3451019;0.2978790628;2009-03-08;37744.9400480306;42099916.0;Earth;2017-04-06 09:01:03;16.54294835548255;False
3589714;3589714;0.0622357573;2009-03-08;42394.106130683;15740699.0;Earth;2017-04-06 08:51:49;1.206298728493142;False
3746491;3746491;0.2366137501;2009-03-08;31917.939195565;49700680.0;Earth;2017-04-06 08:27:34;8.771580935289647;False
3454525;3454525;0.0430566244;2009-03-15;24079.3677402326;5874166.5;Earth;2017-04-06 09:01:00;6.723283587558233;False
3454895;3454895;0.0472106499;2009-03-15;47956.4369152189;2429705.0;Earth;2017-04-06 09:00:55;6.455762355145728;False
2014402;2014402;1.1325046106;2009-03-15;35594.9633747336;16904950.0;Earth;2017-04-06 09:29:48;11.41772448994804;False
3582084;3582084;0.1241766613;2009-03-15;53284.6341304888;40639364.0;Earth;2017-04-06 08:52:27;9.975552544579608;False
3455135;3455135;0.0517654482;2009-03-22;29387.3980216543;8780018.0;Earth;2017-04-06 09:00:55;10.75730326659217;False
2299582;2299582;1.4929318344;2009-03-22;50930.1104989234;52558768.0;Earth;2017-09-03 06:20:36;25.84253227599533;False
3177232;3177232;0.0375007522;2009-03-22;91406.0012944691;49641016.0;Earth;2017-04-06 09:12:59;3.509213057777882;False
3392302;3392302;0.2157943048;2009-03-22;28621.2204980164;31834230.0;Earth;2017-04-06 09:05:26;13.11923057470065;False
3445443;3445443;1.4929318344;2009-03-22;98434.5114358732;70463072.0;Earth;2017-01-03 06:17:49;21.15627385303679;False
3514892;3514892;0.1032856481;2009-03-22;47474.0913737329;42372464.0;Earth;2017-04-06 08:57:56;21.23229668788096;False
3720888;3720888;0.2844722965;2009-03-22;64639.787724022;52872556.0;Earth;2017-04-06 08:33:19;18.02197796934838;False
2481918;2481918;1.4257388333;2009-03-22;98434.4492984447;70463024.0;Earth;2017-04-06 09:18:46;21.15619118230637;False
3457389;3457389;0.1714115092;2009-04-08;45913.8057000408;12345291.0;Earth;2017-04-06 09:00:48;18.17378521150715;False
2008507;2008507;2.1579430484;2009-04-08;107646.5479312814;73427384.0;Earth;2017-04-06 09:30:01;14.58570507659379;False
3754328;3754328;0.2366137501;2009-04-08;29000.6244158731;35138516.0;Earth;2017-04-06 08:25:16;14.66467874649248;False
3398095;3398095;0.7145621017;2009-04-08;46707.0321671017;58726568.0;Earth;2017-04-06 09:04:53;16.4205770675092;False
3748335;3748335;0.0098637028;2009-04-08;60534.1366351884;34225404.0;Earth;2017-04-06 08:27:16;1.745927386188547;False
2085774;2085774;0.8590926012;2009-04-15;26462.8953692657;57707012.0;Earth;2017-04-06 09:28:37;13.58936740086063;True
3449084;3449084;1.0815335068;2009-04-15;40403.8740195756;43348668.0;Earth;2017-03-08 06:18:03;20.06047924051366;False
3451789;3451789;0.3266178974;2009-04-15;43850.8401365153;15473470.0;Earth;2017-04-06 09:01:02;1.90768281902402;True
2484795;2484795;1.0815335068;2009-04-15;40403.887454295;43348676.0;Earth;2017-05-28 06:20:50;20.06188686785353;False
2016834;2016834;4.3056624424;2009-04-22;45759.5701582594;38242172.0;Earth;2017-04-11 18:55:58;15.98928753082546;False
2168044;2168044;0.9419763057;2009-04-22;81646.9797730813;46104296.0;Earth;2017-04-06 09:26:04;34.83811179470096;False
2278381;2278381;0.2477650126;2009-04-22;26455.0643278762;43547136.0;Earth;2017-04-06 09:24:22;5.827378853754642;False
3560920;3560920;0.3750075218;2009-04-22;67883.8292795275;27430850.0;Earth;2017-04-06 08:53:54;34.88932401133287;False
3602621;3602621;0.1879489824;2009-04-22;46006.0727712516;18568718.0;Earth;2017-04-06 08:50:06;9.271874369486056;False
3695411;3695411;0.0651688382;2009-04-22;35341.9034814453;24315342.0;Earth;2017-04-06 08:37:42;8.483894013259851;False
2380476;2380476;0.7835017643;2009-05-08;54937.9528728376;47818204.0;Earth;2017-04-06 09:22:17;14.25884494241458;False
3012392;3012392;0.0472106499;2009-05-08;54056.2426156703;53937264.0;Earth;2017-04-06 09:17:47;1.481035557515004;False
3775095;3775095;0.0294333692;2009-05-08;78295.2013310051;56800528.0;Earth;2017-06-06 06:20:37;5.913391327476085;False
3410474;3410474;0.3750075218;2009-05-08;85712.1596821264;32674640.0;Earth;2017-04-06 09:03:27;22.48814425873502;False
3461232;3461232;0.2594418179;2009-05-08;35845.4426338009;27154392.0;Earth;2017-04-06 09:00:30;11.00225219162524;False
3549694;3549694;0.5943468684;2009-05-08;92721.756654428;37599680.0;Earth;2017-04-06 08:56:13;26.00498888387507;True
3752014;3752014;0.0748238376;2009-05-08;39316.7972188235;30585470.0;Earth;2017-07-04 06:19:26;13.65596458290274;False
3460325;3460325;0.1081533507;2009-05-08;24720.0298091653;5876629.0;Earth;2017-04-06 09:00:32;9.368463479719605;False
3257080;3257080;0.4943561926;2009-05-15;64352.9869832178;62630604.0;Earth;2017-04-06 09:11:58;6.375392596747806;False
